ID,Uniqueid,Lat,Long,School,Address,City,Zip,Phone,Grades,BoundaryGrades,GradesLong,Type,Typenum,Classification,Boundary,Marker,Polygon,ProgramType,Rating,Count,Growth,Attainment,Culture,Mobility,Dress,ADA,Reading,Math,ACT,Graduation,College
400030,18,41.921687,-87.776749,CICS - WEST BELDEN,2245 N McVicker Ave,"Chicago, IL",60639,1(773)637-9430,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,498,Average,Above Average,Well Organized,,Yes,No/Unknown Accessibility,86th,85th,,,
400031,19,41.745365,-87.692614,CICS - WRIGHTWOOD,8130 S California Ave,"Chicago, IL",60652,1(773)434-4575,_K-8,_K-8,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Charter-Attendance Area School,blue_c,,,Level 1,725,Average,Above Average,Well Organized,,Yes,Generally Accessible,69th,81st,,,
400032,20,41.748382,-87.66898,CICS - ELLISON HS,1817 W 80th St,"Chicago, IL",60620,1(773)478-4434,_9-12,_9-12,"_9, 10, 11, 12",High School Charter,3,Charter,Charter-Attendance Area School,red_c,,,Level 2+,453,Below Average,Below Average,Well Organized,,Yes,Generally Accessible,,,16.6,77,68.6
400033,21,41.721221,-87.655768,CICS - LONGWOOD,1309 W 95th St,"Chicago, IL",60643,1(773)238-5330,_3-12,,"_3, 4, 5, 6, 7, 8, 9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2+,1323,Below Average,Below Average,Partially Organized,,Yes,No/Unknown Accessibility,42nd,27th,16.1,74.6,71.9
400034,22,41.990245,-87.726504,CICS - NORTHTOWN HS,3900 W Peterson Ave,"Chicago, IL",60659,1(773)478-3655,_9-12,_9-12,"_9, 10, 11, 12",High School Charter,3,Charter,Charter-Attendance Area School,red_c,,,Level 1+,874,Average,Average,Well Organized,,Yes,Generally Accessible,,,19.8,84.4,79.7
400035,23,42.013031,-87.674818,CHICAGO MATH & SCIENCE HS,7212 N Clark St,"Chicago, IL",60626,1(773)761-8960,_6-12,,"_6, 7, 8, 9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 1+,606,Far Above Average,Average,Well Organized,9.5,Yes,Fully Accessible,55th,80th,19.6,86.4,78.2
400036,24,41.88055,-87.649772,CHICAGO VIRTUAL,38 S Peoria St,"Chicago, IL",60607,1(312)267-4486,_K-12,,"_K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2+,670,Above Average,Average,Organized,24.3,No,Fully Accessible,76th,51st,18.6,38.7,59.1
400038,25,41.885464,-87.626542,COMMUNITY SERVICES WEST HS,180 N Wabash Ave,"Chicago, IL",60601,1(773)522-5133,_11-12,,"_11, 12",High School,3,Contract-Option,Citywide,red_circle,,,Level 1+,94,No Data Available,No Data Available,Organized,29.8,Yes,Generally Accessible,,,13.7,,17.1
400039,26,41.906771,-87.694364,ERIE,1405 N Washtenaw Ave,"Chicago, IL",60622,1(773)486-7161,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2+,424,Average,Below Average,Moderately Organized,2.4,Yes,Generally Accessible,36th,28th,,,
400040,27,41.862077,-87.717642,FRAZIER CHARTER,3711 W Douglas Blvd,"Chicago, IL",60624,1(773)534-6776,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2,423,Below Average,Below Average,Partially Organized,2.4,Yes,Fully Accessible,24th,20th,,,
400041,28,41.897313,-87.721959,GALAPAGOS,3814 W Iowa St,"Chicago, IL",60651,1(773)384-9400,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2,318,Below Average,Below Average,Not Yet Organized,13.2,Yes,No/Unknown Accessibility,15th,38th,,,
400043,29,41.883362,-87.668077,HOPE INSTITUTE,1628 W Washington,"Chicago, IL",60612,1(773)534-7405,_K-5,,"_K, 1, 2, 3, 4, 5",Elementary School,1,Contract,Citywide,blue_circle,,,Level 2+,374,Average,Below Average,Well Organized,10.6,Yes,Generally Accessible,29th,26th,,,
400044,30,41.85837,-87.721071,KIPP - ASCEND,1616 S Avers Ave,"Chicago, IL",60623,1(773)521-4766,_6-8,,"_6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2,616,Below Average,Average,Well Organized,6.4,Yes,Generally Accessible,33rd,43rd,,,
400045,31,41.69804,-87.631058,NKRUMAH,314 W 108th St,"Chicago, IL",60628,1(773)568-8000,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 3,317,Far Below Average,Below Average,Not Yet Organized,16.2,Yes,Generally Accessible,23rd,11th,,,
400046,32,41.867273,-87.710679,LEARN - BUTLER,1132 S Homan Ave,"Chicago, IL",60624,1(773)826-6330,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,626,Above Average,Above Average,Not Yet Organized,,Yes,Generally Accessible,81st,75th,,,
400047,33,41.877861,-87.698739,LEARN - CAMPBELL,212 S Francisco Ave,"Chicago, IL",60612,1(773)826-0370,_K-5,,"_K, 1, 2, 3, 4, 5",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2,451,Average,Average,Not Yet Organized,,Yes,Fully Accessible,45th,56th,,,
400048,34,41.874687,-87.686568,LEARN - EXCEL,2401 W Congress Pkwy,"Chicago, IL",60612,1(312)243-7001,_K-5,,"_K, 1, 2, 3, 4, 5",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2,432,Far Below Average,Below Average,Partially Organized,,Yes,No/Unknown Accessibility,25th,38th,,,
400049,35,41.856859,-87.730348,LEGACY,4217 W 18th St,"Chicago, IL",60623,1(773)542-1640,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,498,Above Average,Average,Well Organized,7.3,Yes,Generally Accessible,42nd,49th,,,
400050,36,41.8257,-87.667724,NAMASTE,3737 S Paulina St,"Chicago, IL",60609,1(773)715-9558,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2+,488,Below Average,Average,Moderately Organized,4.6,Yes,Generally Accessible,46th,43rd,,,
400051,37,41.900191,-87.662628,NOBLE - NOBLE HS,1010 N Noble St,"Chicago, IL",60642,1(773)862-1449,_9-12,,"_9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 1,623,Below Average,Average,Well Organized,,Yes,No/Unknown Accessibility,,,19.8,86.5,88.1
400052,38,41.764083,-87.601974,NOBLE - COMER HS,7200 S Ingleside Ave,"Chicago, IL",60619,1(773)729-3969,_6-12,_9-12,"_6, 7, 8, 9, 10, 11, 12",High School Charter,3,Charter,Charter-Attendance Area School,red_c,,,Level 1,1059,Average,Below Average,Well Organized,,Yes,No/Unknown Accessibility,75th,82nd,19.5,79.3,87.4
400053,39,41.895282,-87.664483,NOBLE - GOLDER HS,1454 W Superior St,"Chicago, IL",60642,1(312)265-9925,_9-12,,"_9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 1,661,Below Average,Average,Well Organized,,Yes,Generally Accessible,,,20.4,81.5,75.8
400054,40,41.915214,-87.730127,NOBLE - PRITZKER HS,4131 W Cortland Ave,"Chicago, IL",60639,1(773)394-2848,_9-12,,"_9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 1,932,Below Average,Average,Well Organized,,Yes,Generally Accessible,,,21.5,88.1,81.8
400055,41,41.892425,-87.660859,NOBLE - RAUNER HS,1337 W Ohio St,"Chicago, IL",60642,1(312)226-5345,_9-12,,"_9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 1,609,Below Average,Average,Well Organized,,Yes,Generally Accessible,,,20.1,86.6,85.6
400056,42,41.895362,-87.718047,NOBLE - ROWE CLARK HS,3645 W Chicago Ave,"Chicago, IL",60651,1(773)242-2212,_9-12,,"_9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2+,542,Average,Average,Moderately Organized,,Yes,Fully Accessible,,,19.1,76.7,78.2
400057,43,41.865817,-87.676111,NOBLE - UIC HS,1231 S Damen Ave,"Chicago, IL",60608,1(312)768-4858,_9-12,_9-12,"_9, 10, 11, 12",High School Charter,3,Charter,Charter-Attendance Area School,red_c,,,Level 1+,897,Above Average,Above Average,Well Organized,,Yes,Generally Accessible,,,22.8,86.8,92.2
400058,44,41.858564,-87.708987,NORTH LAWNDALE - CHRISTIANA HS,1615 S. Christiana Ave.,"Chicago, IL",60623,1(773)542-1490,_9-12,,"_9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2+,397,Below Average,Below Average,Organized,9.1,Yes,Generally Accessible,,,15.9,79.7,80.2
400059,45,41.864146,-87.700681,NORTH LAWNDALE - COLLINS HS,1313 S Sacramento Dr,"Chicago, IL",60623,1(773)542-6766,_8-12,,"_8, 9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2,405,Below Average,Below Average,Moderately Organized,,Yes,Generally Accessible,,,16.1,73.7,69.8
400060,46,41.983371,-87.67116,AHS - PASSAGES,1643 W Bryn Mawr Ave,"Chicago, IL",60660,1(773)433-3530,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,462,Above Average,Above Average,Partially Organized,5.4,Yes,No/Unknown Accessibility,79th,87th,,,
400061,47,41.745961,-87.652045,PERSPECTIVES - LEADERSHIP HS,8131 S May St,"Chicago, IL",60620,1(773)358-6100,_6-12,,"_6, 7, 8, 9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2,548,Below Average,Below Average,Well Organized,,Yes,Generally Accessible,42nd,22nd,16.6,66.2,59.3
400062,48,41.745949,-87.650657,PERSPECTIVES - TECH HS,8131 S May St,"Chicago, IL",60620,1(773)358-6120,_9-12,,"_9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2+,423,Below Average,Below Average,Well Organized,,Yes,Generally Accessible,,,16.6,69.1,57.7
400064,49,41.855999,-87.628531,PERSPECTIVES - JOSLIN HS,1930 S Archer Ave,"Chicago, IL",60616,1(312)225-7400,_6-12,,"_6, 7, 8, 9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2,392,Average,Average,Partially Organized,,Yes,Fully Accessible,8th,10th,19.6,78.6,70.5
400066,50,41.827784,-87.624788,PERSPECTIVES - MATH & SCI HS,3663 S Wabash Ave,"Chicago, IL",60653,1(773)358-6800,_6-12,,"_6, 7, 8, 9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2,535,Below Average,Below Average,Organized,,Yes,Generally Accessible,15th,15th,17.6,68.2,76.9
400068,51,41.87276,-87.763337,PLATO,5545 W Harrison St,"Chicago, IL",60644,1(773)413-3090 x111,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,1,Contract,Citywide,blue_circle,,,Level 2,487,Below Average,Below Average,Partially Organized,9.1,Yes,No/Unknown Accessibility,18th,12th,,,
400069,52,41.89255,-87.707796,POLARIS,620 N Sawyer Ave,"Chicago, IL",60624,1(773)534-0820,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,433,Above Average,Below Average,Well Organized,16.5,Yes,Generally Accessible,28th,22nd,,,
400070,53,41.90307,-87.663541,PROLOGUE - EARLY COLLEGE HS,1135 N Cleaver St,"Chicago, IL",60642,1(773)935-9925,_9-12,,"_9, 10, 11, 12",High School,3,Contract-Option,Citywide,red_circle,,,Level 3,177,No Data Available,Far Below Average,Not Enough Data,,Yes,No/Unknown Accessibility,,,14.6,6.4,12.5
400071,54,41.775367,-87.663996,PROVIDENCE ENGLEWOOD,6515 S Ashland Ave,"Chicago, IL",60636,1(773)434-0202,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2,490,Average,Average,Partially Organized,5.4,Yes,Generally Accessible,65th,39th,,,
400072,55,41.752458,-87.600255,SHABAZZ - SHABAZZ,7823 S Ellis Ave,"Chicago, IL",60619,1(773)651-1221,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,314,Above Average,Below Average,Well Organized,,Yes,No/Unknown Accessibility,37th,28th,,,
400073,56,41.804309,-87.625015,SHABAZZ - DUSABLE HS,4934 S Wabash Ave,"Chicago, IL",60615,1(773)535-1170,_12,,_12,High School Charter,3,Charter,Citywide,red_c,,,Level 2,51,Far Below Average,Far Below Average,Partially Organized,17.2,Yes,Generally Accessible,,,14.6,65.5,45.3
400074,57,41.76739,-87.667639,SHABAZZ - SIZEMORE,6936 S Hermitage Ave,"Chicago, IL",60636,1(773)535-9144,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2,271,Average,Below Average,Organized,,Yes,Generally Accessible,13th,9th,,,
400075,58,41.827726,-87.608501,U OF C - DONOGHUE,707 E 37th St,"Chicago, IL",60653,1(773)285-5301,_K-5,_PK-5,"_K, 1, 2, 3, 4, 5",Elementary Charter,1,Charter,Charter-Attendance Area School,blue_c,,,Level 2+,565,Below Average,Above Average,Partially Organized,4.9,Yes,Generally Accessible,70th,54th,,,
400076,59,41.811183,-87.598786,U OF C - NKO,1119 E 46th St,"Chicago, IL",60653,1(773)536-2399,_K-5,,"_K, 1, 2, 3, 4, 5",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,356,Below Average,Above Average,Organized,,Yes,Generally Accessible,81st,65th,,,
400077,60,41.77813,-87.598114,U OF C - WOODLAWN HS,6420 S University Ave,"Chicago, IL",60637,1(773)752-8101,_6-12,_6-12,"_6, 7, 8, 9, 10, 11, 12",High School Charter,3,Charter,Charter-Attendance Area School,red_c,,,Level 2+,642,Average,Below Average,Well Organized,,Yes,Generally Accessible,31st,12th,17.8,69.2,70.9
400078,61,41.813547,-87.608426,U OF C - WOODSON,4444 S Evans Ave,"Chicago, IL",60653,1(773)624-0700,_6-8,_6-8,"_6, 7, 8",Middle School Charter,2,Charter,Charter-Attendance Area School,orange_c,,,Level 2,321,Below Average,Average,Organized,,Yes,Generally Accessible,45th,24th,,,
400079,62,41.810135,-87.730495,UNO - ZIZUMBO,4248 W 47th St,"Chicago, IL",60632,1(773)579-3470 x222,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1+,638,Above Average,Above Average,Partially Organized,,Yes,Fully Accessible,87th,89th,,,
400080,63,41.8082,-87.73045,UNO - TORRES,4248 W 47th St,"Chicago, IL",60632,1(773)579-3475,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,640,Above Average,Above Average,Not Yet Organized,,Yes,Fully Accessible,79th,84th,,,
400081,64,41.859504,-87.667949,UNO - DE LAS CASAS,1641 W 16th St,"Chicago, IL",60608,1(312)432-3224,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1+,287,Above Average,Above Average,Well Organized,,Yes,Fully Accessible,64th,96th,,,
400082,65,41.937476,-87.699594,UNO - FUENTES,2845 W Barry Ave,"Chicago, IL",60618,1(773)279-9826,_K-8,_K-8,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Charter-Attendance Area School,blue_c,,,Level 1,567,Above Average,Above Average,Not Yet Organized,,Yes,No/Unknown Accessibility,84th,84th,,,
400083,66,41.850035,-87.692551,UNO - PAZ,2651 W 23rd St,"Chicago, IL",60608,1(773)890-1054,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1+,410,Far Above Average,Average,Partially Organized,5,Yes,No/Unknown Accessibility,66th,62nd,,,
400084,67,41.79993,-87.693862,UNO - TAMAYO,5135 S California Ave,"Chicago, IL",60632,1(773)434-6355,_K-8,_K-8,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Charter-Attendance Area School,blue_c,,,Level 1,288,Above Average,Average,Organized,,Yes,No/Unknown Accessibility,50th,69th,,,
400085,68,41.809171,-87.730467,UNO - GARCIA HS,4248 W 47th St,"Chicago, IL",60632,1(773)579-3480 x225,_9-12,,"_9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 1,651,Average,Below Average,Partially Organized,,Yes,No/Unknown Accessibility,,,17.5,89.5,66.4
400086,69,41.781498,-87.634357,URBAN PREP - ENGLEWOOD HS,6201 S Stewart Ave,"Chicago, IL",60621,1(773)535-9724,_9-12,,"_9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2+,445,Average,Below Average,Not Yet Organized,7.7,Yes,Generally Accessible,,,16.9,57.7,82.5
400087,70,41.844544,-87.618724,YOUNG WOMENS HS,2641 S Calumet Ave,"Chicago, IL",60616,1(312)949-9400,_8-12,,"_8, 9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2+,339,Below Average,Below Average,Organized,17.5,Yes,Generally Accessible,49th,20th,16.4,86.6,75
400089,71,41.808309,-87.697394,UNO - MARQUEZ,2916 W 47th St,"Chicago, IL",60632,1(773)321-2200,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,574,Above Average,Above Average,Not Yet Organized,,Yes,Generally Accessible,63rd,72nd,,,
400091,72,41.863301,-87.659095,CHICAGO TECH HS,1301 W 14th St,"Chicago, IL",60608,1(773)534-7755,_9-12,,"_9, 10, 11, 12",High School,3,Contract,Citywide,red_circle,,,Level 2,324,Below Average,Below Average,Organized,9.2,Yes,Generally Accessible,,,16.1,55.1,48.1
400092,73,41.653663,-87.605039,CICS - BOND,13300 S Langley Ave,"Chicago, IL",60827,1(773)468-1300,_K-6,,"_K, 1, 2, 3, 4, 5, 6",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1+,347,Far Above Average,Average,Well Organized,,Yes,Generally Accessible,30th,42nd,,,
400094,74,41.744849,-87.550222,EPIC HS,8255 S Houston Ave,"Chicago, IL",60617,1(773)535-7930,_9-12,,"_9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2+,439,Below Average,Below Average,Well Organized,17.4,Yes,Generally Accessible,,,16.3,67.6,52.2
400096,75,41.907797,-87.664072,ROWE,1424 N Cleaver St,"Chicago, IL",60642,1(312)445-5870,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1+,832,Above Average,Above Average,Moderately Organized,2.9,Yes,Generally Accessible,76th,87th,,,
400097,76,41.878809,-87.678195,NOBLE - BULLS HS,2040 W Adams St,"Chicago, IL",60612,1(773)534-7599,_9-12,_9-12,"_9, 10, 11, 12",High School Charter,3,Charter,Charter-Attendance Area School,red_c,,,Level 1,1119,Average,Above Average,Well Organized,7.3,Yes,Generally Accessible,,,20.9,77,83.2
400098,77,41.88274,-87.626338,NOBLE - MUCHIN HS,1 N State St,"Chicago, IL",60602,1(312)445-4680,_9-12,,"_9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 1+,883,Average,Above Average,Well Organized,,Yes,Generally Accessible,,,21.3,88,88.6
400101,78,41.822884,-87.693996,UNO - CISNEROS,2744 W Pershing Rd,"Chicago, IL",60632,1(312)376-8830,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1+,562,Far Above Average,Above Average,Moderately Organized,,No,No/Unknown Accessibility,63rd,74th,,,
400102,79,41.86254,-87.660107,URBAN PREP - WEST HS,1326 W 14th Pl,"Chicago, IL",60608,1(773)534-8860,_9-12,,"_9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2,331,Below Average,Below Average,Partially Organized,13.7,Yes,Generally Accessible,,,16.8,66.1,77.1
400104,80,41.845967,-87.68724,INSTITUTO - HEALTH,2520 S Western Ave,"Chicago, IL",60608,1(773)890-8020,_9-12,,"_9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2+,764,Average,Below Average,Partially Organized,4.3,Yes,No/Unknown Accessibility,,,17.5,85.9,58.3
400105,81,41.831118,-87.613629,URBAN PREP - BRONZEVILLE HS,521 E 35th St,"Chicago, IL",60616,1(773)495-0870,_9-12,,"_9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2+,417,Below Average,Below Average,Moderately Organized,12.4,Yes,No/Unknown Accessibility,,,17.4,76.1,82.7
400106,82,41.778369,-87.635117,NOBLE - JOHNSON HS,6350 S Stewart Ave,"Chicago, IL",60621,1(312)348-1888,_9-12,,"_9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2+,848,Average,Average,Well Organized,,Yes,No/Unknown Accessibility,,,19.8,75.1,88
400107,83,41.733333,-87.54558,LEARN - SOUTH CHICAGO,8914 S Buffalo Ave,"Chicago, IL",60617,1(773)722-8577,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1+,504,Above Average,Above Average,Moderately Organized,9.6,Yes,No/Unknown Accessibility,67th,89th,,,
